Normrichtlinie,Klasse,Zementgehalt [kg/m3],fck [N/mm2],fcd [N/mm2],taucd [N/mm2]
262 (2003),C30/37,,30.0,20.0,1.10
162 (1989),B20/10,,9.6,6.4,0.63
162 (1989),B25/15,,13.6,9.1,0.74
162 (1989),B30/20,,17.6,11.7,0.84
162 (1989),B35/25,,21.6,14.4,0.93
162 (1989),B40/30,,25.6,17.1,1.01
162 (1989),B45/35,,29.6,19.7,1.09
162 (1989),B50/40,,33.6,21.6,1.16
162 (1989),B55/45,,37.6,23.3,1.23
162/34 (1976),BN unbewehrt,150,6.4,4.3,0.51
162/34 (1976),BN unbewehrt,200,9.6,6.4,0.62
162/34 (1976),BN unbewehrt,250,12.8,8.5,0.72
162/34 (1976),BH unbewehrt,250,19.2,12.8,0.88
162 (1968),BN bewehrt,300,12.8,8.5,0.72
162 (1968),BH bewehrt,300,19.2,12.8,0.88
162 (1968),BS bewehrt,300,24.0,16.0,0.98
162 (1956),B.N.,150,3.4,2.2,0.37
162 (1956),B.N.,200,5.3,3.5,0.46
162 (1956),B.N.,250,7.7,5.1,0.55
162 (1956),B.N.,300,10.6,7.0,0.65
162 (1956),B.N.,350,13.4,9.0,0.73
115 (1935),B.H.,250,12.0,8.0,0.69
115 (1935),B.H.,300,16.3,10.9,0.81
115 (1935),B.H.,350,20.7,13.8,0.91
