Normrichtlinie,Spanngliedtyp,fpO1m [N/mm2],fpO2m [N/mm2],fpm [N/mm2],fpO.1k [N/mm2],fpO0.2k [N/mm2],fpk [N/mm2],fpd [N/mm2],Eud [%]
262 (2003),Y1860,,,,1600,,1860,1390,
262 (2003),Y1770,,,,1520,,1770,1320,
262 (2003),Y1670,,,,1440,,1670,1250,
262 (2003),Y1570,,,,1300,,1570,1130,20
262 (2003),Y1230,,,,1080,,1230,940,
262 (2003),Y1100,,,,900,,1100,780,
262 (2003),Y1030,,,,830,,1030,720,
162 (1989),,,,,1670,,,1450,
162 (1989),,,,,1640,,,1430,
162 (1989),,,,,1590,,,1380,
162 (1989),,,,,1500,,,1300,
162 (1989),,,,,1410,,,1230,
162 (1989),,,,,1000,,,870,
162 (1989),,,,,830,,,720,
162 (1968),,,,,,,1400,,
162 (1968),,,,,,,1300,,
162 (1968),,,,,,,1000,,
162 (1956),,,,,,,,,
