ObjektName,TBA_ZH_Nr,UH_km,Baujahr,SIA,Zustand_letzte_HI,FHB,Gemeinde,Koordinaten,Höhe_müM,,,,,Länge,Breite,Fläche,max_Spannweiten,Platte_Stärke,Platte_dv,P_Bewehrung_überdeckung,P_Bewehrungs_Durchmesser,P_s_Bewehrung,P_Wand_höhe,Lichthöhe,W_Wand_Stärke,W_Wand_dv,W_Bewehrung_überdeckung,W_Bewehrungs_Durchmesser,W_s_Bewehrung,Erdüberdeckung,Belag_dicke,Gefälle,Lichthöhr_Reserve,h1
UNF Dangelweg,ZH_261-042,106.79,1965,1956,2,K,Wollishofen,682290.00 / 242887.00,466,,,,,8.00,72.00,576.00,7.50,0.55,0.51,30.00,20.00,100.00,5.50,3.50,0.50,0.46,30.00,20.00,100.00,1.50,0.30,2.00,0.00,2.08
WLK Dangelweg,ZH_261-043,106.83,1963,1956,2,T/U,Wollishofen,682315.00 / 242856.00,460,,,,,4.00,68.50,274.00,3.60,0.40,0.35,30.00,18.00,100.00,2.75,2.00,0.30,0.25,30.00,18.00,100.00,1.50,0.30,0.00,0.00,2.00
UNF FG Lätten,ZH_131-001,107.531,1965,1956,9,K,Adliswil,682612.00 / 242189.00,440,,,,,4.70,28.60,134.42,4.30,0.40,0.35,35.00,18.00,125.00,4.10,3.00,0.35,0.30,37.00,18.00,250.00,0.00,0.30,0.00,0.00,1.20
UNF FG Stocken,ZH_131-004,108.008,1965,1956,2,K,Adliswil,682742.00 / 241771.00,478,,,,,4.70,33.40,156.98,4.35,0.40,0.36,21.00,18.00,125.00,4.25,3.00,0.35,0.31,21.00,18.00,125.00,0.80,0.30,1.96,0.00,1.30
WLK Kilchbergstrasse,ZH_135-002,108.657,1963,1956,2,T/U,Kilchberg,683089.00 / 241223.00,491,,,,,2.00,44.00,88.00,1.75,0.25,0.22,30.00,,,1.75,1.50,0.25,,,,,3.50,0.30,55.6 und 2.9,0.00,3.93
UNF Gheistrasse,ZH_139-001,109.435,1965,1956,2,K,Rüschlikon,683471.00 / 240546.00,500,,,,,12.70,30.65,389.26,11.35,0.60,0.54,30.00,34.00,150.00,5.50,4.80,0.35,0.29,30.00,27.00,15.00,1.00,0.30,1.20,0.20,1.60
UNF FG Zürcherstrasse,ZH_139-006,110.57,1965,1956,2,K,Thalwil,684057.00 / 238643.00,506,,,,,3.66,19.35,70.82,5.50,0.30,0.26,25.00,18.00,150.00,3.90,3.30,0.30,0.26,25.00,12.00,150.00,0.50,0.30,+- 2.0,0.00,0.95
WLK Langentannenstrasse,ZH_139-008,110.857,1964,1956,2,T/U,Thalwil,684171.00 / 238274.00,509,,,,,2.00,46.70,93.40,1.80,0.20,0.17,30.00,,,2.20,1.80,0.20,,,,,2.00,0.30,+-2.3,0.00,2.40
WLK im Boden,ZH_141-018,111.436,1964,1956,2,T/U,Thalwil,684478.00 / 237850.00,540,,,,,1.80,31.50,56.70,1.50,0.30,0.26,30.00,12.00,125.00,2.50,1.90,0.30,0.26,30.00,14.00,125.00,1.10,0.30,1.05,0.00,1.55
UNF Ochsenrainstrasse,ZH_141-002,111.826,1965,1956,2,K,Thalwil,684716.00 / 237588.00,542,,,,,13.40,34.30,459.62,12.70,0.50,0.44,30.00,30.00,150.00,4.70,4.50,0.70,0.65,30.00,20.00,30.00,1.10,0.30,1.10,0.00,1.65
WLK Teilstock,ZH_141-004,112.709,1963,1956,2,T/U,Oberrieden,685793.00 / 235864.00,554,,,,,3.30,137.40,453.42,3.70,0.30,0.25,30.00,20.00,150.00,3.65,2.95,0.40,0.35,30.00,20.00,150.00,23.00,0.30,1.60,0.00,23.45
UNF Vordere Bergstrasse,ZH_137-002,114.749,1965,1956,2,K,Horgen,686247.00 / 235149.00,600,,,,,9.20,42.00,386.40,8.60,0.60,0.55,30.00,20.00,100.00,5.20,4.20,0.60,0.55,30.00,18.00,200.00,4.40,0.30,7.75,0.00,5.00
UNF Sihlwaldweg Ost (alt),ZH_133-003,115.599,1968,1956,3,K,Horgen,687558.00 / 233859.00,502,,,,,23.10,8.92,206.05,21.40,0.70,0.66,30.00,12.00,250.00,5.90,4.60,0.60,0.54,30.00,26.00,200.00,0.00,0.30,5.40,0.00,0.65
UNF Geduldweg,ZH_133-004,116.603,1965,1956,2,K,Horgen,687623.00 / 233733.00,588,,,,,5.70,46.40,264.48,5.35,0.40,0.35,30.00,24.00,150.00,5.50,3.50,0.35,0.30,30.00,18.00,300.00,2.58,0.30,15.00,0.00,3.08
WLK Leitungsstollen Geduld,ZH_133-040,116.822,1965,1956,2,T/U,Horgen,688104.00 / 233320.00,590,,,,,1.80,55.95,100.71,1.50,0.30,0.25,30.00,16.00,200.00,2.30,1.80,0.30,0.26,30.00,14.00,200.00,4.00,0.30,Unbekannt,0.00,4.45
WLK Leitungsstollen Kreuzungsbauwerk,ZH_133-005,117.376,1962,1956,2,T/U,Horgen,688714.00 / 232713.00,570,,,,,1.90,63.41,120.48,1.70,0.20,0.15,30.00,16.00,200.00,2.30,1.90,0.20,0.16,30.00,14.00,200.00,6.60,0.30,32.00,0.00,7.00
UNF Eggweg,ZH_133-006,117.444,1965,1956,3,K,Horgen,688714.00 / 232713.00,573,,,,,6.80,69.60,473.28,6.40,0.60,0.54,30.00,26.00,125.00,4.30,3.20,0.40,0.35,30.00,16.00,250.00,4.00,0.30,15.30,0.00,4.60
UNF Bergstrasse,ZH_133-007,117.664,2011,2003,2,K,Horgen,689482.00 / 232013.00,571,,,,,13.80,72.50,1000.50,12.80,1.00,0.93,55.00,20.00,200.00,4.90,4.60,0.60,0.58,0.30,20.00,300.00,0.00,0.30,8.00,0.00,0.80
WLK Leitungsstollen Tunnel Breitmatt,ZH_133-041,118.213,1967,1956,2,T/U,Horgen,683892.00 / 239511.00,570,,,,,1.80,71.90,129.42,1.50,0.30,0.25,30.00,16.00,200.00,2.30,1.80,0.30,0.25,30.00,16.00,200.00,8.00,0.30,23.60,0.00,8.45
